date,hotel_id,hotel_name,city,country,available_rooms,occupied_rooms,adr_usd,revpar_usd,total_room_revenue_usd,guest_satisfaction_score,complaint_resolution_time_hours,checkin_time_minutes,checkout_time_minutes,housekeeping_turnover_time_min,staff_to_guest_ratio,energy_consumption_per_room_kwh,year,month,month_name,day,day_of_week,is_weekend,occupancy_rate,revenue_per_occupied_room,revenue_efficiency_index
2025-01-01,MIL001,Times Square,New York,USA,650,539,253.78,210.44,136787.42,9.1,1.6,6.7,4.7,36,0.27,42.4,2025,1,January,1,Wednesday,0,0.8292307692307692,253.78000000000003,0.829222160926787
2025-01-01,MIL002,Marina Bay,Singapore,Singapore,720,671,238.87,222.61,160281.77,9.0,1.6,6.8,5.4,33,0.25,38.6,2025,1,January,1,Wednesday,0,0.9319444444444445,238.86999999999998,0.9319295014024365
2025-01-01,MIL003,Downtown Chicago,Chicago,USA,420,285,274.14,186.02,78129.9,8.2,2.2,9.5,5.1,33,0.27,36.4,2025,1,January,1,Wednesday,0,0.6785714285714286,274.14,0.6785584008171008
2025-01-01,MIL004,Hyde Park,London,UK,510,325,208.21,132.68,67668.25,8.9,1.3,10.3,7.4,36,0.24,36.9,2025,1,January,1,Wednesday,0,0.6372549019607843,208.21,0.6372412468181163
2025-01-01,MIL005,Shinjuku,Tokyo,Japan,680,489,343.35,246.91,167898.15,8.7,1.3,10.1,5.3,34,0.24,40.7,2025,1,January,1,Wednesday,0,0.7191176470588235,343.34999999999997,0.7191204310470365
2025-01-01,MIL006,Darling Harbour,Sydney,Australia,560,377,200.23,134.8,75486.71,8.8,3.4,9.5,7.3,36,0.27,44.3,2025,1,January,1,Wednesday,0,0.6732142857142858,200.23000000000002,0.6732257903411079
2025-01-01,MIL007,La Défense,Paris,France,480,368,246.45,188.95,90693.6,7.8,3.1,7.6,5.3,33,0.23,43.2,2025,1,January,1,Wednesday,0,0.7666666666666667,246.45000000000002,0.7666869547575573
2025-01-01,MIL008,Mitte,Berlin,Germany,390,276,229.54,162.44,63353.04,9.1,1.2,9.7,6.6,35,0.28,36.7,2025,1,January,1,Wednesday,0,0.7076923076923077,229.54,0.7076762220092359
2025-01-01,MIL009,Orchard Road,Singapore,Singapore,610,424,246.09,171.05,104342.16,8.9,2.0,6.3,5.4,31,0.28,41.7,2025,1,January,1,Wednesday,0,0.6950819672131148,246.09,0.6950709090170263
2025-01-01,MIL010,Union Square,San Francisco,USA,450,394,256.76,224.81,101163.44,9.3,1.5,9.2,6.8,33,0.28,40.4,2025,1,January,1,Wednesday,0,0.8755555555555555,256.76,0.8755647297086774
2025-01-02,MIL001,Times Square,New York,USA,650,336,296.99,153.52,99788.64,8.8,1.9,8.3,7.2,30,0.25,42.8,2025,1,January,2,Thursday,0,0.5169230769230769,296.99,0.516919761608135
2025-01-02,MIL002,Marina Bay,Singapore,Singapore,720,540,223.62,167.72,120754.8,8.4,3.3,9.6,6.4,36,0.28,37.7,2025,1,January,2,Thursday,0,0.75,223.62,0.7500223593596279
2025-01-02,MIL003,Downtown Chicago,Chicago,USA,420,331,303.59,239.26,100488.29,8.3,1.7,7.9,7.0,36,0.22,40.6,2025,1,January,2,Thursday,0,0.7880952380952381,303.59,0.7881023749135347
2025-01-02,MIL004,Hyde Park,London,UK,510,381,196.31,146.66,74794.11,8.4,1.5,7.5,7.3,31,0.26,42.3,2025,1,January,2,Thursday,0,0.7470588235294118,196.31,0.7470836941572003
2025-01-02,MIL005,Shinjuku,Tokyo,Japan,680,547,256.65,206.45,140387.55,7.5,1.9,6.2,6.3,33,0.22,38.5,2025,1,January,2,Thursday,0,0.8044117647058824,256.65,0.8044028833041107
2025-01-02,MIL006,Darling Harbour,Sydney,Australia,560,435,251.34,195.24,109332.9,8.9,1.5,8.2,7.5,30,0.27,42.9,2025,1,January,2,Thursday,0,0.7767857142857143,251.33999999999997,0.7767963714490332
2025-01-02,MIL007,La Défense,Paris,France,480,412,219.08,188.04,90260.96,9.5,2.7,8.4,4.8,36,0.25,37.7,2025,1,January,2,Thursday,0,0.8583333333333333,219.08,0.8583165966770129
2025-01-02,MIL008,Mitte,Berlin,Germany,390,249,264.48,168.86,65855.52,8.4,2.8,6.1,6.0,30,0.27,37.6,2025,1,January,2,Thursday,0,0.6384615384615384,264.48,0.6384603750756201
2025-01-02,MIL009,Orchard Road,Singapore,Singapore,610,419,329.75,226.5,138165.25,8.2,3.3,9.9,5.3,34,0.29,41.0,2025,1,January,2,Thursday,0,0.6868852459016394,329.75,0.6868840030326004
2025-01-02,MIL010,Union Square,San Francisco,USA,450,336,187.66,140.12,63053.76,8.8,1.4,10.0,7.2,34,0.25,39.1,2025,1,January,2,Thursday,0,0.7466666666666667,187.66,0.7466695086859214
2025-01-03,MIL001,Times Square,New York,USA,650,540,273.36,227.1,147614.4,8.9,2.7,6.4,5.0,36,0.27,36.1,2025,1,January,3,Friday,0,0.8307692307692308,273.36,0.8307726075504828
2025-01-03,MIL002,Marina Bay,Singapore,Singapore,720,586,273.19,222.35,160089.34,8.3,1.2,6.7,6.1,34,0.27,38.0,2025,1,January,3,Friday,0,0.8138888888888889,273.19,0.8139024122405651
2025-01-03,MIL003,Downtown Chicago,Chicago,USA,420,286,295.42,201.17,84490.12,9.4,2.7,9.8,6.5,33,0.23,39.3,2025,1,January,3,Friday,0,0.680952380952381,295.41999999999996,0.6809626971769006
2025-01-03,MIL004,Hyde Park,London,UK,510,355,219.97,153.12,78089.35,8.2,3.4,7.8,7.2,34,0.28,40.5,2025,1,January,3,Friday,0,0.696078431372549,219.97000000000003,0.6960949220348229
2025-01-03,MIL005,Shinjuku,Tokyo,Japan,680,512,382.41,287.93,195793.92,9.1,1.8,6.1,6.4,29,0.3,44.6,2025,1,January,3,Friday,0,0.7529411764705882,382.41,0.7529353311890379
2025-01-03,MIL006,Darling Harbour,Sydney,Australia,560,388,249.94,173.17,96976.72,9.1,1.2,10.2,5.8,37,0.3,43.7,2025,1,January,3,Friday,0,0.6928571428571428,249.94,0.6928462831079458
2025-01-03,MIL007,La Défense,Paris,France,480,333,191.83,133.08,63879.39,8.4,1.6,8.5,7.3,34,0.27,36.9,2025,1,January,3,Friday,0,0.69375,191.82999999999998,0.6937392482927592
2025-01-03,MIL008,Mitte,Berlin,Germany,390,337,262.62,226.93,88502.94,8.0,3.2,9.3,6.6,35,0.25,38.6,2025,1,January,3,Friday,0,0.8641025641025641,262.62,0.8641002208514204
2025-01-03,MIL009,Orchard Road,Singapore,Singapore,610,507,283.12,235.31,143541.84,9.0,3.0,8.9,6.6,35,0.29,39.0,2025,1,January,3,Friday,0,0.8311475409836065,283.12,0.8311316756145803
2025-01-03,MIL010,Union Square,San Francisco,USA,450,427,225.22,213.71,96168.94,8.6,2.5,6.2,5.9,33,0.24,41.3,2025,1,January,3,Friday,0,0.9488888888888889,225.22,0.948894414350413
2025-01-04,MIL001,Times Square,New York,USA,650,476,309.0,226.28,147084.0,8.7,3.0,7.0,6.4,28,0.22,40.8,2025,1,January,4,Saturday,1,0.7323076923076923,309.0,0.7322977346278318
