Date,Hotel_ID,Hotel_Name,City,Country,Available_Rooms,Occupied_Rooms,ADR (USD),RevPAR (USD),Total_Room_Revenue (USD),Guest_Satisfaction_Score,Complaint_Resolution_Time_Hours,Checkin_Time_Minutes,Checkout_Time_Minutes,Housekeeping_Turnover_Time_Min,Staff_to_Guest_Ratio,Energy_Consumption_per_Room_kWh
2025-01-01,MIL001,Milton Times Square,New York,USA,650,539,253.78,210.44,136787.42,9.1,1.6,6.7,4.7,36,0.27,42.4
2025-01-01,MIL002,Milton Marina Bay,Singapore,Singapore,720,671,238.87,222.61,160281.77,9.0,1.6,6.8,5.4,33,0.25,38.6
2025-01-01,MIL003,Milton Downtown Chicago,Chicago,USA,420,285,274.14,186.02,78129.9,8.2,2.2,9.5,5.1,33,0.27,36.4
2025-01-01,MIL004,Milton Hyde Park,London,UK,510,325,208.21,132.68,67668.25,8.9,1.3,10.3,7.4,36,0.24,36.9
2025-01-01,MIL005,Milton Shinjuku,Tokyo,Japan,680,489,343.35,246.91,167898.15,8.7,1.3,10.1,5.3,34,0.24,40.7
2025-01-01,MIL006,Milton Darling Harbour,Sydney,Australia,560,377,200.23,134.8,75486.71,8.8,3.4,9.5,7.3,36,0.27,44.3
2025-01-01,MIL007,Milton La Défense,Paris,France,480,368,246.45,188.95,90693.6,7.8,3.1,7.6,5.3,33,0.23,43.2
2025-01-01,MIL008,Milton Mitte,Berlin,Germany,390,276,229.54,162.44,63353.04,9.1,1.2,9.7,6.6,35,0.28,36.7
2025-01-01,MIL009,Milton Orchard Road,Singapore,Singapore,610,424,246.09,171.05,104342.16,8.9,2.0,6.3,5.4,31,0.28,41.7
2025-01-01,MIL010,Milton Union Square,San Francisco,USA,450,394,256.76,224.81,101163.44,9.3,1.5,9.2,6.8,33,0.28,40.4
2025-01-02,MIL001,Milton Times Square,New York,USA,650,336,296.99,153.52,99788.64,8.8,1.9,8.3,7.2,30,0.25,42.8
2025-01-02,MIL002,Milton Marina Bay,Singapore,Singapore,720,540,223.62,167.72,120754.8,8.4,3.3,9.6,6.4,36,0.28,37.7
2025-01-02,MIL003,Milton Downtown Chicago,Chicago,USA,420,331,303.59,239.26,100488.29,8.3,1.7,7.9,7.0,36,0.22,40.6
2025-01-02,MIL004,Milton Hyde Park,London,UK,510,381,196.31,146.66,74794.11,8.4,1.5,7.5,7.3,31,0.26,42.3
2025-01-02,MIL005,Milton Shinjuku,Tokyo,Japan,680,547,256.65,206.45,140387.55,7.5,1.9,6.2,6.3,33,0.22,38.5
2025-01-02,MIL006,Milton Darling Harbour,Sydney,Australia,560,435,251.34,195.24,109332.9,8.9,1.5,8.2,7.5,30,0.27,42.9
2025-01-02,MIL007,Milton La Défense,Paris,France,480,412,219.08,188.04,90260.96,9.5,2.7,8.4,4.8,36,0.25,37.7
2025-01-02,MIL008,Milton Mitte,Berlin,Germany,390,249,264.48,168.86,65855.52,8.4,2.8,6.1,6.0,30,0.27,37.6
2025-01-02,MIL009,Milton Orchard Road,Singapore,Singapore,610,419,329.75,226.5,138165.25,8.2,3.3,9.9,5.3,34,0.29,41.0
2025-01-02,MIL010,Milton Union Square,San Francisco,USA,450,336,187.66,140.12,63053.76,8.8,1.4,10.0,7.2,34,0.25,39.1
